timestamp,datetime,mid_price,volatility,kappa,A,gamma,optimal_spread_bps,bid_spread_bps,ask_spread_bps,bid_price,ask_price,reservation_price
1763905853333,N/A,2843.850,0.000051,4.07,0.01,0.10,15.05,7.52,7.52,2841.71,2845.99,2843.85
1763905913429,N/A,2842.250,0.000051,4.07,0.01,0.10,15.12,7.56,7.56,2840.10,2844.40,2842.25
1763905973528,N/A,2839.750,0.000051,4.12,0.01,0.10,14.93,7.46,7.46,2837.63,2841.87,2839.75
1763906033529,N/A,2838.950,0.000051,4.12,0.01,0.10,15.07,7.53,7.53,2836.81,2841.09,2838.95
1763906093629,N/A,2840.250,0.000051,4.09,0.01,0.10,15.20,7.60,7.60,2838.09,2842.41,2840.25
1763906153630,N/A,2841.550,0.000052,4.09,0.01,0.10,15.41,7.70,7.70,2839.36,2843.74,2841.55
1763906213633,N/A,2841.550,0.000052,4.06,0.01,0.10,15.41,7.70,7.70,2839.36,2843.74,2841.55
1763906273730,N/A,2841.950,0.000052,4.05,0.01,0.10,15.48,7.74,7.74,2839.75,2844.15,2841.95
1763906333828,N/A,2841.450,0.000052,4.03,0.01,0.10,15.41,7.70,7.70,2839.26,2843.64,2841.45
1763906393831,N/A,2842.250,0.000052,3.91,0.01,0.10,15.48,7.74,7.74,2840.05,2844.45,2842.25
1763906453936,N/A,2841.750,0.000052,3.91,0.01,0.10,15.55,7.77,7.77,2839.54,2843.96,2841.75
1763906514033,N/A,2848.250,0.000053,3.77,0.01,0.10,16.43,8.21,8.21,2845.91,2850.59,2848.25
1763906574137,N/A,2848.950,0.000054,3.86,0.01,0.10,16.49,8.24,8.24,2846.60,2851.30,2848.95
1763906634230,N/A,2855.150,0.000056,2.90,0.00,0.10,18.28,9.14,9.14,2852.54,2857.76,2855.15
1763906694328,N/A,2855.650,0.000056,2.91,0.00,0.10,18.55,9.27,9.27,2853.00,2858.30,2855.65
1763906754330,N/A,2845.850,0.000064,1.28,0.00,0.10,26.14,13.07,13.07,2842.13,2849.57,2845.85
1763906814428,N/A,2844.350,0.000064,1.28,0.00,0.10,26.57,13.28,13.28,2840.57,2848.13,2844.35
1763906874431,N/A,2844.450,0.000065,1.27,0.00,0.10,26.71,13.35,13.35,2840.65,2848.25,2844.45
1763906934433,N/A,2835.750,0.000066,1.26,0.00,0.10,27.71,13.85,13.85,2831.82,2839.68,2835.75
1763906994433,N/A,2835.750,0.000067,1.29,0.00,0.10,28.21,14.10,14.10,2831.75,2839.75,2835.75
1763907054530,N/A,2832.850,0.000069,1.28,0.00,0.10,29.36,14.68,14.68,2828.69,2837.01,2832.85
1763907114628,N/A,2833.950,0.000068,1.33,0.00,0.10,29.00,14.50,14.50,2829.84,2838.06,2833.95
1763907174630,N/A,2834.550,0.000068,1.20,0.00,0.10,29.14,14.57,14.57,2830.42,2838.68,2834.55
1763907234735,N/A,2834.550,0.000068,1.20,0.00,0.10,29.14,14.57,14.57,2830.42,2838.68,2834.55
1763907294929,N/A,2834.150,0.000068,1.11,0.00,0.10,29.42,14.71,14.71,2829.98,2838.32,2834.15
1763907355028,N/A,2831.650,0.000068,1.03,0.00,0.10,29.80,14.90,14.90,2827.43,2835.87,2831.65
1763907415032,N/A,2834.550,0.000068,1.03,0.00,0.10,30.41,15.20,15.20,2830.24,2838.86,2834.55
1763907475033,N/A,2832.050,0.000069,1.05,0.00,0.10,30.50,15.25,15.25,2827.73,2836.37,2832.05
